code,name,price,pct_change,amount,main_net,main_pct,super_net,large_net,medium_net,small_net,period,updated_at
002153,石基信息,7.75,2.79,150964044.56,18777132.0,12.44,8972852.0,9804280.0,-143670.0,-18633462.0,即时,2026-07-16 11:05:37
600312,平高电气,17.29,0.46,135093698.0,18222676.0,13.49,4237063.0,13985613.0,-9343883.0,-8878793.0,即时,2026-07-16 11:05:39
002065,东华软件,7.13,3.03,226008481.25,18073851.0,8.0,9203317.0,8870534.0,-12046307.0,-6027544.0,即时,2026-07-16 11:05:36
603662,XD柯力传,58.1,0.09,231262436.0,17243147.0,7.46,13616278.0,3626869.0,-15475067.0,-1768079.0,即时,2026-07-16 11:05:39
300222,科大智能,10.46,1.36,144108871.14,16685773.0,11.58,6671399.0,10014374.0,-5019584.0,-11666190.0,即时,2026-07-16 11:05:37
002351,漫步者,10.14,3.58,145991399.72,16524484.0,11.32,10976874.0,5547610.0,-4855078.0,-11669406.0,即时,2026-07-16 11:05:37
002410,广联达,8.74,2.58,195108759.38,15973815.0,8.19,270774.0,15703041.0,-9106831.0,-6866984.0,即时,2026-07-16 11:05:37
002444,巨星科技,29.85,2.4,150380031.83,14379217.0,9.56,368610.0,14010607.0,-1576674.0,-12802544.0,即时,2026-07-16 11:05:37
300334,津膜科技,9.04,3.79,116163187.0,14288352.0,12.3,8730531.0,5557821.0,5227842.0,-19516194.0,即时,2026-07-16 11:05:37
002625,光启技术,28.08,1.67,322180056.09,13903552.0,4.32,-6778496.0,20682048.0,1566014.0,-15469566.0,即时,2026-07-16 11:05:37
002897,意华股份,72.05,1.46,480946630.95,13514475.0,2.81,16907278.0,-3392803.0,-29398169.0,15883693.0,即时,2026-07-16 11:05:37
301029,怡合达,27.2,-0.98,183204689.49,13285555.0,7.25,-1320793.0,14606348.0,-18357566.0,5072010.0,即时,2026-07-16 11:05:38
002126,银轮股份,49.35,0.47,457620642.65,11464050.0,2.51,11872121.0,-408071.0,-2026464.0,-9437588.0,即时,2026-07-16 11:05:37
300785,值得买,35.9,3.16,200817395.0,11147146.0,5.55,37902.0,11109244.0,7413114.0,-18560260.0,即时,2026-07-16 11:05:38
300607,拓斯达,36.32,-0.85,782146022.24,10931067.0,1.4,6556841.0,4374226.0,14679102.0,-25610167.0,即时,2026-07-16 11:05:38
300532,今天国际,7.38,0.82,175894829.65,10366189.0,5.89,46886.0,10319303.0,-1094262.0,-9271927.0,即时,2026-07-16 11:05:38
300773,拉卡拉,14.86,0.75,287000883.08,10061622.0,3.51,-443803.0,10505425.0,-4236095.0,-5825526.0,即时,2026-07-16 11:05:38
603690,至纯科技,28.09,0.04,443028032.0,9834446.0,2.22,-918815.0,10753261.0,-14720509.0,4886062.0,即时,2026-07-16 11:05:39
000681,视觉中国,17.56,2.15,264461550.45,9579296.0,3.62,5314155.0,4265141.0,-12072610.0,2493315.0,即时,2026-07-16 11:05:36
301328,维峰电子,63.6,-1.59,119139286.5,9360169.0,7.86,9790350.0,-430181.0,-5329093.0,-4031075.0,即时,2026-07-16 11:05:38
300846,首都在线,20.44,2.92,328325591.72,9134304.0,2.78,-1848024.0,10982328.0,4274540.0,-13408844.0,即时,2026-07-16 11:05:38
